   , x   , y_est              , y_real             , error
142, 1.42,  3.7446740912679055,  3.7446590642356252, 1.5027032280290342e-05
143, 1.43,  3.8022221135218435,  3.8022061124301487, 1.6001091694750613e-05
144, 1.44,  3.860950562439059 ,  3.860933538823603 , 1.7023615456412955e-05
145, 1.45,  3.9208881220733813,  3.920870025366669 , 1.8096706712267263e-05
146, 1.46,  3.98206426878893  ,  3.982045046233103 , 1.922255582709198e-05
147, 1.47,  4.044509294569964 ,  4.0444888911259484, 2.0403444015215655e-05
148, 1.48,  4.1082543310813175,  4.108232689334185 , 2.1641747132150613e-05
149, 1.49,  4.173331374504945 ,  4.173308434565322 , 2.2939939623434213e-05
150, 1.5 ,  4.239773311178987 ,  4.23974901058035  , 2.430059863733902e-05
151, 1.51,  4.307613944066755 ,  4.307588217658436 , 2.5726408319215466e-05
152, 1.52,  4.376888020084026 ,  4.376860799919741 , 2.722016428524654e-05
153, 1.53,  4.4476312583140505,  4.447602473535762 , 2.878477828804904e-05
154, 1.54,  4.519880379140782 ,  4.5198499558577   , 3.042328308122677e-05
155, 1.55,  4.593673134331922 ,  4.593640995494432 , 3.213883748998114e-05
156, 1.56,  4.669048338104558 ,  4.66901440337285  , 3.3934731708207266e-05
157, 1.57,  4.746045899207337 ,  4.746010084814532 , 3.581439280431198e-05
158, 1.58,  4.824706854054415 ,  4.8246690726639345, 3.778139048016271e-05
159, 1.59,  4.905073400947663 ,  4.905033561504591 , 3.9839443072509084e-05
160, 1.6 ,  4.987188935425001 ,  4.987146943001195 , 4.199242380575896e-05
161, 1.61,  5.071098086774089 ,  5.07105384240676  , 4.4244367328971634e-05
162, 1.62,  5.156846755752092 ,  5.1568001562755805, 4.659947651131091e-05
163, 1.63,  5.2444821535537125,  5.244433091424152 , 4.906212956079514e-05
164, 1.64,  5.334052842071262 ,  5.334001205183845 , 5.163688741749439e-05
165, 1.65,  5.425608775492169 ,  5.425554446990669 , 5.4328501499334436e-05
166, 1.66,  5.519201343281003 ,  5.519144201359245 , 5.71419217587632e-05
167, 1.67,  5.61488341459486  ,  5.614823332289763 , 6.008230509646495e-05
168, 1.68,  5.712709384182751 ,  5.7126462291586035, 6.315502414722118e-05
169, 1.69,  5.812735219821573 ,  5.812668854145138 , 6.636567643525382e-05
170, 1.7 ,  5.915018511343163 ,  5.914948791249222 , 6.97200939416831e-05
171, 1.71,  6.019618521309002 ,  6.019545296955924 , 7.322435307788311e-05
172, 1.72,  6.126596237391269 ,  6.126519352606174 , 7.68847850949328e-05
173, 1.73,  6.236014426521134 ,  6.235933718534181 , 8.070798695314352e-05
174, 1.74,  6.347937690867488 ,  6.34785299003482  , 8.470083266765016e-05
175, 1.75,  6.462432525711677 ,  6.4623436552265385, 8.887048513805951e-05
176, 1.76,  6.579567379286312 ,  6.579474154877798 , 9.32244085136702e-05
177, 1.77,  6.699412714648779 ,  6.699314944267695 , 9.777038108360614e-05
178, 1.78,  6.822041073662769 ,  6.821938557154013 , 0.0001025165087558122
179, 1.79,  6.947527143163918 ,  6.947419671924818 , 0.00010747123910004319
180, 1.8 ,  7.075947823388571 ,  7.075835180012538 , 0.00011264337603300589
181, 1.81,  7.207382298747655 ,  7.20726425665251  , 0.00011804209514476582
182, 1.82,  7.341912111030824 ,  7.341788434071137 , 0.00012367695968773518
183, 1.83,  7.479621235129254 ,  7.479491677191958 , 0.00012955793729574339
184, 1.84,  7.620596157368879 ,  7.620460461951454 , 0.00013569541742430857
185, 1.85,  7.764925956549381 ,  7.764783856319816 , 0.0001421002295645124
186, 1.86,  7.912702387787893 ,  7.912553604125611 , 0.0001487836622819927
187, 1.87,  8.0640199692702   ,  8.063864211787132 , 0.00015575748306773107
188, 1.88,  8.2189760720162   ,  8.218813038057082 , 0.0001630339591187635
189, 1.89,  8.377671012770476 ,  8.37750038689148  , 0.00017062587899552284
190, 1.9 ,  8.540208150133148 ,  8.540029603557885 , 0.0001785465752632831
191, 1.91,  8.706693984050665 ,  8.706507174102498 , 0.00018680994816655527
192, 1.92,  8.877238258790753 ,  8.877042828300434 , 0.000195430490318671
193, 1.93,  9.0519540695307   ,  9.051749646218186 , 0.0002044233125140238
194, 1.94,  9.230957972693068 ,  9.230744168522346 , 0.00021380417072158764
195, 1.95,  9.414370100168235 ,  9.414146510674    , 0.00022358949423484376
196, 1.96,  9.6023142775686   ,  9.602080481153472 , 0.0002337964151291061
197, 1.97,  9.794918146664958 ,  9.794673703865927 , 0.0002444427990315745
198, 1.98,  9.992313292161432 ,  9.992057744884178 , 0.0002555472772538536
199, 1.99, 10.194635372971558 , 10.194368243691153 , 0.00026712928040417694
200, 2.0 , 10.402024258164456 , 10.40174504909097  , 0.00027920907348644164
