   , N   , Choleskio laik.      , Lygčių spr. laik.   , Didžiausio nuolydžio iteracijų skaič., Python 1-os funkcijos laik., Python 2-os funkcijos laik., Python 3-os funkcijos laik., Python 4-os funkcijos laik.
135,  679, 241.41287803649902   , 2.498149871826172   ,                                669258,        2.446889877319336   ,        2.062082290649414   ,        1.0290145874023438  ,       231.4167022705078
136,  684, 246.32716178894043   , 2.5310516357421875  ,                                679132,        2.3849010467529297  ,        1.9450187683105469  ,        1.055002212524414   ,       236.96517944335938
137,  689, 248.64697456359863   , 2.577066421508789   ,                                689098,        2.554178237915039   ,        2.1419525146484375  ,        1.116037368774414   ,       240.89312553405762
138,  694, 251.1608600616455    , 2.588033676147461   ,                                699114,        2.2940635681152344  ,        2.0151138305664062  ,        1.1298656463623047  ,       246.9041347503662
139,  699, 257.3680877685547    , 2.6280879974365234  ,                                709226,        2.4700164794921875  ,        2.2449493408203125  ,        1.1372566223144531  ,       251.8289089202881
140,  704, 259.3228816986084    , 2.679109573364258   ,                                719388,        2.064228057861328   ,        1.7008781433105469  ,        1.2478828430175781  ,       254.53639030456543
141,  709, 266.6819095611572    , 2.6509761810302734  ,                                729644,        2.794027328491211   ,        2.474069595336914   ,        1.1990070343017578  ,       262.05897331237793
142,  714, 268.8009738922119    , 2.6738643646240234  ,                                739950,        2.468109130859375   ,        2.1829605102539062  ,        1.1489391326904297  ,       268.18203926086426
143,  719, 271.84391021728516   , 2.6748180389404297  ,                                750352,        2.796649932861328   ,        2.298116683959961   ,        1.2218952178955078  ,       272.9220390319824
144,  724, 273.3609676361084    , 2.665996551513672   ,                                760804,        2.5789737701416016  ,        2.393007278442383   ,        1.2409687042236328  ,       279.7360420227051
145,  729, 281.4621925354004    , 2.7208328247070312  ,                                771348,        3.299713134765625   ,        2.547025680541992   ,        1.4190673828125     ,       284.6550941467285
146,  734, 282.37199783325195   , 2.7539730072021484  ,                                781946,        2.6421546936035156  ,        2.2819042205810547  ,        1.2328624725341797  ,       290.2650833129883
147,  739, 286.6806983947754    , 2.7587413787841797  ,                                792636,        2.9070377349853516  ,        2.8302669525146484  ,        1.2688636779785156  ,       295.65978050231934
148,  744, 303.0738830566406    , 2.900838851928711   ,                                803378,        2.140045166015625   ,        1.9469261169433594  ,        1.3959407806396484  ,       302.45018005371094
149,  749, 298.2048988342285    , 2.830982208251953   ,                                814212,        3.025054931640625   ,        2.7129650115966797  ,        1.4460086822509766  ,       307.60884284973145
150,  754, 298.494815826416     , 2.803802490234375   ,                                825100,        3.117799758911133   ,        2.772808074951172   ,        1.3551712036132812  ,       314.0850067138672
151,  759, 306.8859577178955    , 2.7861595153808594  ,                                836080,        3.1280517578125     ,        2.597808837890625   ,        1.3523101806640625  ,       319.98491287231445
152,  764, 306.95295333862305   , 2.850055694580078   ,                                847112,        2.789020538330078   ,        2.5370121002197266  ,        1.3878345489501953  ,       326.33113861083984
153,  769, 311.8710517883301    , 2.961874008178711   ,                                858236,        3.6270618438720703  ,        3.306150436401367   ,        1.4567375183105469  ,       332.9050540924072
154,  774, 317.1079158782959    , 2.8820037841796875  ,                                869412,        3.368377685546875   ,        2.6748180389404297  ,        1.455068588256836   ,       339.8768901824951
155,  779, 320.3880786895752    , 2.9151439666748047  ,                                880682,        3.2036304473876953  ,        2.8791427612304688  ,        1.558065414428711   ,       346.49014472961426
156,  784, 324.2168426513672    , 2.983570098876953   ,                                892004,        2.562999725341797   ,        3.159046173095703   ,        1.6100406646728516  ,       355.0539016723633
157,  789, 328.624963760376     , 2.9718875885009766  ,                                903418,        3.9680004119873047  ,        3.4999847412109375  ,        1.5392303466796875  ,       360.24975776672363
158,  794, 330.8079242706299    , 2.959728240966797   ,                                914884,        3.278017044067383   ,        2.8429031372070312  ,        1.5630722045898438  ,       366.72282218933105
159,  799, 339.64014053344727   , 3.0231475830078125  ,                                926444,        3.3850669860839844  ,        2.947092056274414   ,        1.6069412231445312  ,       374.31812286376953
160,  804, 342.50330924987793   , 3.0181407928466797  ,                                938056,        3.458261489868164   ,        3.215789794921875   ,        1.5711784362792969  ,       379.81104850769043
161,  809, 345.9300994873047    , 3.016948699951172   ,                                949760,        3.607034683227539   ,        3.007173538208008   ,        1.573801040649414   ,       387.7110481262207
162,  814, 346.87018394470215   , 3.0760765075683594  ,                                961516,        3.5898685455322266  ,        3.0372142791748047  ,        1.6210079193115234  ,       394.48094367980957
163,  819, 356.9307327270508    , 3.4339427947998047  ,                                973366,        4.33802604675293    ,        3.5898685455322266  ,        1.7352104187011719  ,       402.76288986206055
164,  824, 359.42912101745605   , 3.1290054321289062  ,                                985266,        3.047943115234375   ,        2.5479793548583984  ,        1.814126968383789   ,       409.7609519958496
165,  829, 364.2001152038574    , 3.1211376190185547  ,                                997260,        3.9627552032470703  ,        3.1681060791015625  ,        1.7139911651611328  ,       417.01698303222656
166,  834, 368.75128746032715   , 3.147125244140625   ,                               1009306,        3.8530826568603516  ,        3.679990768432617   ,        1.6889572143554688  ,       423.57707023620605
167,  839, 373.0289936065674    , 3.2100677490234375  ,                               1021444,        3.9701461791992188  ,        3.3719539642333984  ,        1.7619132995605469  ,       431.80203437805176
168,  844, 374.7560977935791    , 3.195047378540039   ,                               1033636,        3.6361217498779297  ,        3.0548572540283203  ,        1.79290771484375    ,       438.9221668243408
169,  849, 380.8119297027588    , 3.2405853271484375  ,                               1045920,        4.090070724487305   ,        3.7980079650878906  ,        1.9218921661376953  ,       447.67212867736816
170,  854, 388.60106468200684   , 3.229856491088867   ,                               1058254,        4.5452117919921875  ,        3.7927627563476562  ,        1.856088638305664   ,       454.96392250061035
171,  859, 387.8159523010254    , 3.2439231872558594  ,                               1070684,        4.266023635864258   ,        3.576040267944336   ,        1.8389225006103516  ,       463.4690284729004
172,  864, 394.41514015197754   , 3.336191177368164   ,                               1083164,        3.174304962158203   ,        2.682924270629883   ,        2.045869827270508   ,       468.53137016296387
173,  869, 397.71294593811035   , 3.317117691040039   ,                               1095738,        4.715919494628906   ,        4.406929016113281   ,        1.911163330078125   ,       479.21156883239746
174,  874, 406.4929485321045    , 3.3359527587890625  ,                               1108362,        4.139184951782227   ,        3.648042678833008   ,        2.20489501953125    ,       485.8818054199219
175,  879, 411.2429618835449    , 3.366708755493164   ,                               1121082,        4.582881927490234   ,        4.0302276611328125  ,        2.034902572631836   ,       495.3498840332031
